Date,Indicator,Category,Unit,Value
2010-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.065177
2010-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,2.651020
2010-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2257.436000
2010-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2283.335000
2010-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.105614
2010-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.566640
2010-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,2.830000
2010-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2257.286364
2010-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2231.575000
2010-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,6.795344
2010-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.320326
2010-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.040000
2010-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2230.940714
2010-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2270.000000
2010-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,5.427142
2010-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.819123
2010-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.020000
2010-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2251.303095
2010-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2244.080000
2010-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.616824
2010-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.007090
2010-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,3.890000
2010-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2264.820954
2010-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2284.720000
2010-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.610000
2010-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.143627
2010-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,4.790000
2010-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2288.872857
2010-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2313.665000
2010-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.777151
2010-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.714484
2010-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,5.360000
2010-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2303.929348
2010-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2308.300000
2011-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.963667
2011-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.090000
2011-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.250000
2011-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2333.135000
2011-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2302.710000
2011-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.993311
2011-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.577400
2011-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.955900
2011-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2341.927222
2011-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2359.245000
2011-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.677333
2011-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.965182
2011-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.937635
2011-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2393.313048
2011-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2397.290000
2011-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.778488
2011-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.971937
2011-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.415285
2011-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2367.589211
2011-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2374.990000
2011-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.422231
2011-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.867241
2011-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.795970
2011-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2387.684048
2011-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2390.365000
2011-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.014643
2011-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.936840
2011-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.798678
2011-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2461.038500
2011-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2623.165000
2011-07-01,Central Bank Rate,Policy Rate,Percent per Annum,13.000000
2011-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.985678
2011-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.724580
2011-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,13.200000
2011-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2587.228333
2011-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2610.585000
2011-08-01,Central Bank Rate,Policy Rate,Percent per Annum,14.000000
2011-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,14.201893
2011-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.307544
2011-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,18.540000
2011-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2753.232727
2011-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2821.130000
2011-09-01,Central Bank Rate,Policy Rate,Percent per Annum,16.000000
2011-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,13.742208
2011-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.335952
2011-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,19.680000
2011-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2814.018768
2011-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2845.033400
2011-10-01,Central Bank Rate,Policy Rate,Percent per Annum,20.000000
2011-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,15.803872
2011-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.549592
2011-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,23.390000
2011-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2805.365975
2011-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2593.400000
2011-11-01,Central Bank Rate,Policy Rate,Percent per Annum,23.000000
2011-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,19.683964
2011-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,25.967982
2011-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,23.830000
2011-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2582.177273
2011-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2566.235000
2011-12-01,Central Bank Rate,Policy Rate,Percent per Annum,23.000000
2011-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,23.854807
2011-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.705520
2011-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,26.680000
2011-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2446.914286
2011-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2490.990000
2012-01-01,Central Bank Rate,Policy Rate,Percent per Annum,23.000000
2012-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,21.230449
2012-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,27.250648
2012-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,26.210000
2012-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2414.193095
2012-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2326.830000
2012-02-01,Central Bank Rate,Policy Rate,Percent per Annum,22.000000
2012-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,19.783331
2012-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.825508
2012-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,19.230000
2012-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2327.969286
2012-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2372.520000
2012-03-01,Central Bank Rate,Policy Rate,Percent per Annum,21.000000
2012-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,19.958151
2012-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,27.579144
2012-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,21.846813
2012-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2485.018095
2012-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2518.440000
2012-04-01,Central Bank Rate,Policy Rate,Percent per Annum,21.000000
2012-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,20.620391
2012-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.142996
2012-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,21.290000
2012-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2506.212632
2012-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2505.735000
2012-05-01,Central Bank Rate,Policy Rate,Percent per Annum,21.000000
2012-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,18.965722
2012-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.656981
2012-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,18.697476
2012-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2479.052946
2012-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2488.020000
2012-06-01,Central Bank Rate,Policy Rate,Percent per Annum,20.000000
2012-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,19.904115
2012-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,27.021703
2012-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,20.367796
2012-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2484.357619
2012-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2472.360000
2012-07-01,Central Bank Rate,Policy Rate,Percent per Annum,19.000000
2012-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,17.768871
2012-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.880899
2012-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,15.993402
2012-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2474.180227
2012-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2478.740000
2012-08-01,Central Bank Rate,Policy Rate,Percent per Annum,17.000000
2012-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,15.211888
2012-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,26.428353
2012-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,13.260000
2012-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2492.038129
2012-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2508.525000
2012-09-01,Central Bank Rate,Policy Rate,Percent per Annum,15.000000
2012-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.865961
2012-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,25.657967
2012-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.960000
2012-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2515.877000
2012-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2545.225000
2012-10-01,Central Bank Rate,Policy Rate,Percent per Annum,13.000000
2012-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.745188
2012-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,24.859941
2012-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,12.307010
2012-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2579.428113
2012-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2585.405000
2012-11-01,Central Bank Rate,Policy Rate,Percent per Annum,12.500000
2012-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.809575
2012-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.726770
2012-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.153423
2012-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2622.952727
2012-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2688.370000
2012-12-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2012-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.716013
2012-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,24.770653
2012-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.856384
2012-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2673.477062
2012-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2685.945000
2013-01-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,13.542695
2013-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,24.224909
2013-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.158271
2013-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2683.789286
2013-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2665.175000
2013-02-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,13.472834
2013-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,24.275379
2013-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.124183
2013-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2657.549303
2013-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2643.675000
2013-03-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.104930
2013-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.999944
2013-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.646156
2013-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2636.891579
2013-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2594.770000
2013-04-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.823262
2013-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,24.620000
2013-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.741000
2013-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2578.011693
2013-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2597.345545
2013-05-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.171021
2013-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.451986
2013-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.040000
2013-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2586.113488
2013-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2594.500232
2013-06-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2013-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.258972
2013-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.717512
2013-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.128700
2013-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2593.081506
2013-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2593.331250
2013-07-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2013-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.723876
2013-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.145731
2013-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.510000
2013-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2588.900520
2013-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2584.122443
2013-08-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2013-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.913452
2013-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,23.095785
2013-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.970000
2013-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2578.871508
2013-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2590.188953
2013-09-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.995194
2013-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.515211
2013-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.751652
2013-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2568.864214
2013-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2561.030000
2013-10-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.293350
2013-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.223299
2013-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.778000
2013-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2534.391844
2013-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2524.035144
2013-11-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
2013-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.469019
2013-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.698071
2013-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.890000
2013-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2523.272621
2013-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2524.487697
2013-12-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2013-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.619468
2013-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.435045
2013-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.160000
2013-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2512.937261
2013-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2527.955479
2014-01-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2014-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.365658
2014-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.924663
2014-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.940000
2014-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2499.903891
2014-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2475.200000
2014-02-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2014-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.518013
2014-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.813422
2014-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.420000
2014-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2471.961790
2014-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2538.065470
2014-03-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2014-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.399559
2014-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.870323
2014-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.760000
2014-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2534.215691
2014-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2549.548746
2014-04-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2014-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,12.087425
2014-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.777661
2014-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.300000
2014-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2529.787007
2014-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2521.351667
2014-05-01,Central Bank Rate,Policy Rate,Percent per Annum,11.500000
2014-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.363354
2014-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.892182
2014-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.900000
2014-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2532.385853
2014-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2557.720607
2014-06-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.817534
2014-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.548103
2014-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.500000
2014-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2580.862271
2014-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2599.680000
2014-07-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.397558
2014-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.559793
2014-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.870000
2014-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2633.515357
2014-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2625.200000
2014-08-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.701935
2014-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.720721
2014-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.970000
2014-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2612.504687
2014-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2616.995000
2014-09-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.029415
2014-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.177923
2014-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.890000
2014-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2618.796150
2014-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2651.606557
2014-10-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.721798
2014-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.906240
2014-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.710000
2014-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2680.508661
2014-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2707.330000
2014-11-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.818933
2014-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,22.141757
2014-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.580000
2014-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2734.222250
2014-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2779.945000
2014-12-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2014-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.492896
2014-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.677934
2014-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.300000
2014-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2768.794799
2014-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2773.065000
2015-01-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2015-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.814299
2015-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.686768
2015-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,11.170000
2015-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2860.711750
2015-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2866.770000
2015-02-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2015-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.383379
2015-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.820211
2015-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.310000
2015-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2868.847500
2015-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2894.180000
2015-03-01,Central Bank Rate,Policy Rate,Percent per Annum,11.000000
2015-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.758502
2015-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.080133
2015-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,12.610000
2015-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,2951.736813
2015-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,2970.630000
2015-04-01,Central Bank Rate,Policy Rate,Percent per Annum,12.000000
