Date,Indicator,Category,Unit,Value
2006-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.290000
2006-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.180000
2006-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.620000
2006-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1815.841579
2006-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1824.750000
2006-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.430000
2006-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.860000
2006-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.450000
2006-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1820.943289
2006-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1823.510000
2006-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.980000
2006-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.733000
2006-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,5.630000
2006-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1827.481111
2006-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1834.200000
2006-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.050000
2006-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.230000
2006-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.180000
2006-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1836.341905
2006-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1851.375000
2006-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,7.571176
2006-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.598721
2006-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.660000
2006-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1859.949286
2006-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1862.295000
2006-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.022630
2006-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.210089
2006-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.540000
2006-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1857.716429
2006-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1855.885000
2006-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.043000
2006-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.174000
2006-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.240000
2006-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1847.739674
2006-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1853.125000
2006-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.984000
2006-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.176000
2006-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.470000
2006-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1854.676667
2006-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1861.085000
2006-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.927000
2006-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.671000
2006-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.620000
2006-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1843.426500
2006-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1819.765000
2006-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,17.890714
2006-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,17.890714
2006-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.880000
2006-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1818.851364
2006-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1808.520000
2006-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.120437
2006-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.908789
2006-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.930000
2006-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1775.333158
2006-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1741.440000
2007-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.802521
2007-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.925328
2007-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.850000
2007-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1792.278810
2007-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1759.530000
2007-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.440750
2007-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.826364
2007-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,8.050000
2007-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1751.682750
2007-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1735.330000
2007-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.257002
2007-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.166218
2007-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.350000
2007-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1750.676429
2007-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1746.560000
2007-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.102942
2007-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.850528
2007-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.160000
2007-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1728.890789
2007-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1726.725000
2007-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.568009
2007-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.698865
2007-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.430000
2007-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1695.152727
2007-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1693.085000
2007-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.802000
2007-06-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.384000
2007-06-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,9.560000
2007-06-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1643.573333
